<USER_REQUEST>
Now we need to work on the patient reach in the care part. I have attached the data as of the follows,

Row Labels	Sum of Pay	Sum of Free	Sum of Camp
24-PARGANAS NORTH	109	12	1
24-PARGANAS SOUTH	65	18	0
ABU DHABI	0	1	0
ADILABAD	14	5	0
AGARTALA	15	2	0
AGRA	29	0	0
AHMADABAD	16	3	0
AHMADMAGAR	18	0	0
AIZAWL	1	0	0
AJMER	12	0	0
AKOLA	1	0	0
ALASSAN	1	0	0
ALBERTA	3	0	0
ALIGARH	4	3	0
AL-KHOBAR	3	0	0
ALLAHABAD	74	1	0
ALLEPPEY	11024	3642	1536
ALMORA	2	0	0
ALWAR	9	0	0
AMBALA	9	0	0
AMRAVATI	8	0	0
AMRELI	0	1	0
AMRITSAR	18	0	0
ANANTAPUR	5691	7229	3
ANANTNAG	1	0	0
Andaman & nicobar	1	0	0
ANDHRA PRADESH	802	704	14
ANGUL	7	0	0
ARIYALUR	11297	9300	3335
ASAMGARMH	1	3	0
ASHOK NAGAR	1	0	0
ASSAM	406	41	0
ATMAKUR	238	197	2
AURANGABAD	29	5	0
AZAMGARH	41	3	0
B.POLYTECHI	1	0	0
Badvel	63	114	0
BAGALKOT	3	2	0
BAHRAICH	16	1	0
Bahrain	3	0	0
BALAGHAT	4	2	0
BALASORE	43	2	0
BALLIA	76	7	0
BANASKANTHA	2	0	0
BANDA	10	2	0
BANGALORE	3221	816	28
BANGALORE RURAL	24	5	0
BANGLADESH	63	0	0
BANKURA	49	2	0
BARA BANKI	15	0	0
BARAMULA	1	0	0
BAREILLY	6	0	0
BARGARH	26	3	0
BARMER	26	0	0
BARODA	18	1	0
BARPETA	16	0	0
BASTAR	4	0	0
BASTI	35	2	0
BEED	1	6	0
BEGUSARAI	51	12	0
BELGAUM	31	11	0
BELLARY	163	54	0
BETUL	9	5	0
BHADRAK	37	1	0
BHAGALPUR	58	4	0
BHANDARA	1	0	0
BHANJAN	1	0	0
BHARATPUR	7	0	0
BHARUCH	16	0	0
BHAVNAGAR	1	1	0
BHILWARA	7	2	0
BHIND	10	0	0
BHIWANI	12	0	0
BHOJPUR	55	3	0
BHOPAL	23	0	0
BHUTAN - GENL	1	0	0
BHUVANESWAR	22	0	0
BIDAR	11	9	0
BIHAR	1605	237	0
BIJAPUR	18	0	0
BIJNOR	3	2	0
BIKANER	6	0	0
BILASPUR	14	1	0
BIRBHUM	138	14	0
BISHNUPUR	10	0	0
BOLANGIR	11	0	0
BUDAUN	6	8	0
BULANDSHAHR	4	2	0
BULDANA	7	0	0
BURDWAN	84	5	0
BUTTERWORTH	1	0	0
CACHAR	32	1	0
CALIFORNIA	6	0	0
CANADA	8	0	0
